LIBCAF(IMG 5)[TIME]:comm_read_strided Wall-clock time: 0.000050, CPU time: 0.000000
LIBCAF(IMG 8)[TIME]:comm_read_strided Wall-clock time: 0.000128, CPU time: 0.000000
LIBCAF(IMG 5)[TIME]:comm_read Wall-clock time: 0.000012, CPU time: 0.000000
LIBCAF(IMG 1)[TIME]:comm_read_strided Wall-clock time: 0.000076, CPU time: 0.000000
LIBCAF(IMG 5)[TIME]:comm_read Wall-clock time: 0.000002, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read_strided Wall-clock time: 0.000179, CPU time: 0.000000
LIBCAF(IMG 1)[TIME]:comm_read Wall-clock time: 0.000011, CPU time: 0.000000
LIBCAF(IMG 1)[TIME]:comm_read Wall-clock time: 0.000002, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read_strided Wall-clock time: 0.000030, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read_strided Wall-clock time: 0.000045, CPU time: 0.000000
LIBCAF(IMG 8)[TIME]:comm_read_strided Wall-clock time: 0.000106, CPU time: 0.000000
LIBCAF(IMG 8)[TIME]:comm_read Wall-clock time: 0.000022, CPU time: 0.000000
LIBCAF(IMG 8)[TIME]:comm_read Wall-clock time: 0.000004, CPU time: 0.000000
LIBCAF(IMG 4)[TIME]:comm_read_strided Wall-clock time: 0.000064, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_read_strided Wall-clock time: 0.000166, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_read_strided Wall-clock time: 0.000181, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_read_strided Wall-clock time: 0.000146, CPU time: 0.000000
LIBCAF(IMG 4)[TIME]:comm_read Wall-clock time: 0.000013, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_read_strided Wall-clock time: 0.000041, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_read_strided Wall-clock time: 0.000036, CPU time: 0.000000
LIBCAF(IMG 4)[TIME]:comm_read Wall-clock time: 0.000003, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read_strided Wall-clock time: 0.000319, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_read_strided Wall-clock time: 0.000048, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read Wall-clock time: 0.000011, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_read Wall-clock time: 0.000002, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_read_strided Wall-clock time: 0.000047, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_read_strided Wall-clock time: 0.000059, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_read Wall-clock time: 0.000011, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_read Wall-clock time: 0.000002, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_read_strided Wall-clock time: 0.000035, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_read_strided Wall-clock time: 0.000030, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_read Wall-clock time: 0.000010, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_read Wall-clock time: 0.000011, CPU time: 0.000000
LIBCAF(IMG 2)[TIME]:comm_read Wall-clock time: 0.000002, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_read Wall-clock time: 0.000002, CPU time: 0.000000
LIBCAF(IMG 7)[TIME]:comm_sync_all Wall-clock time: 0.000064, CPU time: 0.000000
LIBCAF(IMG 1)[TIME]:comm_sync_all Wall-clock time: 0.000523, CPU time: 0.000000
LIBCAF(IMG 6)[TIME]:comm_sync_all Wall-clock time: 0.000088, CPU time: 0.000000
LIBCAF(IMG 3)[TIME]:comm_sync_all Wall-clock time: 0.000003, CPU time: 0.000000
